"permohonan_id","status","tanggal_permohonan","nik","nama_pemohon","tanggal_lahir","jenis_kelamin","agama","status_perkawinan","pekerjaan","lingkungan","nama_surat"
"2","Selesai","2023-05-17 03:19:17","7173011111890002","JOKO NUGROHO","1989-11-10","pria","ISLAM","single","PNS","lingkungan2","Surat Keterangan Domisili"
"14","Ditolak","2025-04-27 07:46:24","7173011109820002","AGUS NUGROHO","1982-09-11","pria","ISLAM","janda","BURUH/TANI","lingkungan3","Surat Keterangan Domisili"
"17","Ditolak","2023-09-18 13:08:56","7173011911850002","SLAMET SANTOSO","1985-11-19","pria","ISLAM","janda","PEDAGANG","lingkungan1","Surat Keterangan Domisili"
"33","Selesai","2025-01-05 19:57:53","7173011504820001","DEDI GUNAWAN","1982-04-15","pria","ISLAM","janda","TNI/POLRI","lingkungan3","Surat Keterangan Domisili"
"35","Selesai","2025-01-29 23:42:39","7173012512970001","DEDI GUNAWAN","1997-12-25","pria","BUDHA","janda","SWASTA","lingkungan2","Surat Keterangan Domisili"
"47","Selesai","2024-05-27 06:08:01","7173015307640002","LINA WAHYUDI","1964-07-13","wanita","ISLAM","single","TNI/POLRI","lingkungan2","Surat Keterangan Domisili"
"62","Selesai","2025-01-25 05:50:43","7173012102830001","AGUS PRASETYO","1983-02-21","pria","ISLAM","single","BURUH/TANI","lingkungan1","Surat Keterangan Domisili"
"63","Selesai","2024-10-24 15:57:30","7173015609890002","ANI SANTOSO","1989-09-16","wanita","ISLAM","single","PEDAGANG","lingkungan3","Surat Keterangan Domisili"
"76","Selesai","2023-01-01 23:41:03","7173014404040002","LINA SANTOSO","2004-04-04","wanita","ISLAM","cerai","PEDAGANG","lingkungan2","Surat Keterangan Domisili"
"80","Selesai","2024-11-29 03:02:28","7173015010780001","FITRI HARTONO","1978-10-10","wanita","ISLAM","cerai","BURUH/TANI","lingkungan2","Surat Keterangan Domisili"
"86","Selesai","2023-08-06 10:35:25","7173016806990001","FITRI WIJAYA","1999-06-28","wanita","ISLAM","cerai","SWASTA","lingkungan3","Surat Keterangan Domisili"
"91","Selesai","2023-03-09 01:31:19","7173010101870001","RUDI PRASETYO","1986-12-31","pria","ISLAM","single","PNS","lingkungan1","Surat Keterangan Domisili"
"122","Selesai","2024-03-23 02:30:58","7173011908600001","HERI KUSUMO","1960-08-19","pria","HINDU","cerai","LAINNYA","lingkungan2","Surat Keterangan Domisili"
"132","Ditolak","2024-12-18 17:27:02","7173010508700001","AGUS HARTONO","1970-08-05","pria","ISLAM","menikah","SWASTA","lingkungan2","Surat Keterangan Domisili"
"164","Ditolak","2024-03-28 14:19:34","7173016106700002","INDAH WIJAYA","1970-06-20","wanita","ISLAM","janda","LAINNYA","lingkungan1","Surat Keterangan Domisili"
"166","Selesai","2023-05-20 03:10:57","7173014404040002","LINA SANTOSO","2004-04-04","wanita","ISLAM","cerai","PEDAGANG","lingkungan2","Surat Keterangan Domisili"
"175","Selesai","2024-11-10 05:31:57","7173012706850001","JOKO SUSANTO","1985-06-26","pria","ISLAM","janda","MHS/PELAJAR","lingkungan3","Surat Keterangan Domisili"
"198","Selesai","2025-05-21 02:42:04","7173016010660002","DEWI PRASETYO","1966-10-20","wanita","ISLAM","cerai","TNI/POLRI","lingkungan2","Surat Keterangan Domisili"
"212","Selesai","2024-09-02 18:49:13","7173014706830002","ANI NUGROHO","1983-06-06","wanita","ISLAM","janda","BURUH/TANI","lingkungan1","Surat Keterangan Domisili"
"213","Selesai","2024-04-12 07:29:57","7173012209780001","SLAMET SUSANTO","1978-09-22","pria","ISLAM","cerai","PEDAGANG","lingkungan1","Surat Keterangan Domisili"
"227","Selesai","2024-05-22 02:06:43","7173010401890001","DEDI GUNAWAN","1989-01-04","pria","ISLAM","single","BURUH/TANI","lingkungan3","Surat Keterangan Domisili"
"233","Ditolak","2023-09-30 03:57:16","7173010702960001","ADI HARTONO","1996-02-06","pria","ISLAM","menikah","BURUH/TANI","lingkungan3","Surat Keterangan Domisili"
"235","Selesai","2023-04-21 12:12:19","7173014805910001","WATI SANTOSO","1991-05-08","wanita","ISLAM","menikah","LAINNYA","lingkungan2","Surat Keterangan Domisili"
"265","Ditolak","2024-01-02 23:56:49","7173010610620001","JOKO SETIAWAN","1962-10-06","pria","BUDHA","janda","BURUH/TANI","lingkungan2","Surat Keterangan Domisili"
"282","Selesai","2025-04-04 16:39:09","7173017009870002","INDAH SANTOSO","1987-09-29","wanita","ISLAM","cerai","LAINNYA","lingkungan2","Surat Keterangan Domisili"
"301","Selesai","2023-11-15 08:48:20","7173016208770001","SITI HARTONO","1977-08-22","wanita","ISLAM","janda","PNS","lingkungan1","Surat Keterangan Domisili"
"306","Ditolak","2024-12-03 21:23:43","7173014903010002","LINA WAHYUDI","2001-03-09","wanita","ISLAM","cerai","TNI/POLRI","lingkungan2","Surat Keterangan Domisili"
"313","Selesai","2023-02-25 04:50:37","7173016205720002","YUNI SUSANTO","1972-05-21","wanita","ISLAM","janda","LAINNYA","lingkungan3","Surat Keterangan Domisili"
"314","Selesai","2025-03-08 17:45:41","7173015305620001","MAYA PRASETYO","1962-05-13","wanita","ISLAM","cerai","PEDAGANG","lingkungan3","Surat Keterangan Domisili"
"315","Selesai","2024-10-22 20:54:57","7173016409620001","DEWI GUNAWAN","1962-09-24","wanita","ISLAM","menikah","PNS","lingkungan3","Surat Keterangan Domisili"
"318","Ditolak","2025-06-23 14:38:54","7173015808700001","ANI SUSANTO","1970-08-17","wanita","ISLAM","menikah","BURUH/TANI","lingkungan1","Surat Keterangan Domisili"
"319","Selesai","2024-12-06 10:15:30","7173014509990001","RINA SETIAWAN","1999-09-04","wanita","ISLAM","single","MHS/PELAJAR","lingkungan1","Surat Keterangan Domisili"
"341","Ditolak","2025-04-17 15:54:32","7173014107720002","LINA PRASETYO","1972-07-01","wanita","ISLAM","janda","BURUH/TANI","lingkungan3","Surat Keterangan Domisili"
"344","Selesai","2023-02-11 07:01:50","7173011302770002","YANTO PRASETYO","1977-02-12","pria","ISLAM","janda","SWASTA","lingkungan2","Surat Keterangan Domisili"
"348","Selesai","2023-12-31 04:18:15","7173014506730002","YUNI NUGROHO","1973-06-05","wanita","ISLAM","single","BURUH/TANI","lingkungan3","Surat Keterangan Domisili"
"352","Selesai","2023-04-02 14:53:55","7173011411860002","YANTO NUGROHO","1986-11-13","pria","ISLAM","cerai","MHS/PELAJAR","lingkungan1","Surat Keterangan Domisili"
"353","Ditolak","2024-01-27 01:04:25","7173014810620002","DEWI SETIAWAN","1962-10-07","wanita","ISLAM","cerai","PEDAGANG","lingkungan2","Surat Keterangan Domisili"
"365","Selesai","2024-03-08 18:01:38","7173016808810001","FITRI SANTOSO","1981-08-27","wanita","ISLAM","cerai","PNS","lingkungan1","Surat Keterangan Domisili"
"369","Selesai","2024-09-22 16:45:32","7173015209880002","LINA SETIAWAN","1988-09-12","wanita","ISLAM","janda","MHS/PELAJAR","lingkungan3","Surat Keterangan Domisili"
"375","Selesai","2023-05-04 04:52:49","7173010901750002","AGUS NUGROHO","1975-01-08","pria","ISLAM","menikah","MHS/PELAJAR","lingkungan2","Surat Keterangan Domisili"
"377","Ditolak","2023-03-31 09:15:20","7173011804820001","RUDI SETIAWAN","1982-04-18","pria","ISLAM","single","BURUH/TANI","lingkungan3","Surat Keterangan Domisili"
